Interval,Transfer (MB),Bitrate (Mbps),Retransmissions,CWND (KB)
0.00-1.00,451.0,3780.0,152,665.0
1.00-2.00,400.0,3360.0,43,718.0
2.00-3.00,424.0,3560.0,35,605.0
3.00-4.00,385.0,3220.0,33,684.0
4.00-5.01,394.0,3270.0,18,595.0
5.01-6.00,386.0,3270.0,11,810.0
6.00-7.00,461.0,3870.0,25,631.0
7.00-8.00,362.0,3040.0,52,567.0
8.00-9.01,422.0,3530.0,60,516.0
9.01-10.00,408.0,3440.0,18,632.0
10.00-11.00,402.0,3370.0,64,549.0
11.00-12.00,421.0,3540.0,2,793.0
12.00-13.00,394.0,3300.0,21,584.0
13.00-14.00,365.0,3060.0,54,559.0
14.00-15.00,462.0,3880.0,73,676.0
15.00-16.01,429.0,3550.0,54,659.0
16.01-17.00,366.0,3110.0,107,643.0
17.00-18.00,421.0,3520.0,71,652.0
18.00-19.00,401.0,3380.0,162,397.0
19.00-20.00,402.0,3380.0,26,724.0
20.00-21.00,459.0,3850.0,30,775.0
21.00-22.00,468.0,3920.0,60,810.0
22.00-23.00,421.0,3540.0,49,682.0
23.00-24.00,368.0,3080.0,56,609.0
24.00-25.00,338.0,2830.0,56,536.0
25.00-26.00,339.0,2840.0,75,573.0
26.00-27.00,329.0,2760.0,31,772.0
27.00-28.00,315.0,2640.0,69,665.0
28.00-29.01,380.0,3160.0,45,625.0
29.01-30.00,371.0,3140.0,13,748.0
30.00-31.00,489.0,4100.0,168,693.0
31.00-32.00,355.0,2980.0,50,587.0
32.00-33.00,394.0,3300.0,64,615.0
33.00-34.00,342.0,2870.0,24,605.0
34.00-35.00,416.0,3490.0,31,614.0
35.00-36.00,445.0,3730.0,26,611.0
36.00-37.00,461.0,3860.0,22,645.0
37.00-38.00,392.0,3300.0,6,611.0
38.00-39.00,420.0,3520.0,48,665.0
39.00-40.00,492.0,4130.0,70,730.0
40.00-41.00,484.0,4050.0,23,803.0
41.00-42.00,412.0,3460.0,178,471.0
42.00-43.00,319.0,2670.0,3,629.0
43.00-44.00,348.0,2920.0,74,477.0
44.00-45.00,369.0,3090.0,34,581.0
45.00-46.00,406.0,3410.0,63,547.0
46.00-47.00,374.0,3140.0,76,578.0
47.00-48.00,422.0,3540.0,51,587.0
48.00-49.00,381.0,3200.0,58,566.0
49.00-50.00,312.0,2620.0,53,720.0
50.00-51.01,220.0,1830.0,75,526.0
51.01-52.00,269.0,2270.0,0,809.0
52.00-53.00,334.0,2800.0,44,738.0
53.00-54.00,360.0,3020.0,39,714.0
54.00-55.00,371.0,3110.0,106,751.0
55.00-56.00,299.0,2510.0,103,494.0
56.00-57.00,402.0,3360.0,108,495.0
57.00-58.02,419.0,3460.0,215,433.0
58.02-59.00,336.0,2880.0,17,600.0
59.00-60.00,409.0,3430.0,215,494.0
